mz	rt	Inten
653.2559	0.97	12.8
655.1474	3.22	13.9
657.5879	16.7	6.7
662.7077	0.76	24.6
662.7548	0.76	9.7
662.7925	0.75	11.7
667.2979	6.65	275.8
668.3008	6.65	65.2
670.8873	0.71	13.5
672.8307	0.71	29.0
678.9309	0.75	61.8
686.5201	16.61	3.0
688.805	0.71	34.1
691.304	6.37	111.0
692.3047	6.35	37.7
692.8366	0.76	36.2
692.8836	0.76	11.7
706.7675	0.75	12.2
706.7904	0.75	0.7
706.8185	0.75	13.8
716.5414	18.08	9.1
721.847	0.73	26.8
721.9406	0.73	43.2
724.9061	0.71	10.3
725.2237	11.56	11.7
728.6016	17.69	13.3
733.3286	7.82	162.2
733.5027	18.08	12.4
739.9447	0.75	30.9
740.0287	0.71	59.6
754.8461	0.71	28.5
762.83	0.73	17.6
762.8646	0.73	8.8
775.2652	7.65	700.0
776.2676	7.63	307.4
782.3583	9.14	270.4
783.3605	9.14	60.0
786.8876	0.73	29.1
787.3142	8.71	5449.9
788.3173	8.73	2356.1
789.3201	8.73	596.9
790.3217	8.73	84.8
791.235	7.63	89.5
797.2493	7.65	171.1
803.2809	8.73	33.2
809.2967	8.73	523.0
810.299	8.77	205.7
814.349	6.98	31.5
814.3496	6.18	689.8
815.3533	6.18	215.4
819.3047	6.18	1950.1
819.3057	6.98	30.0
820.3072	6.16	746.5
820.3085	6.78	145.1
821.3116	6.18	182.1
828.326	6.27	500.1
829.33	6.44	82.3
831.2815	8.75	185.1
833.2824	6.27	573.0
834.2877	6.27	227.3
841.2852	6.18	259.3
841.2857	6.8	110.2
842.2882	6.18	91.0
843.3177	6.48	11.7
847.262	6.42	43.6
855.267	6.46	17.5
878.7239	16.61	13.6
899.7862	16.59	51.6
918.9542	0.71	12.4
919.0015	0.75	74.3
